,pl_name,ra,dec
0,OGLE-TR-10 b,267.8677483,-29.8764758
1,BD-08 2823 b,150.1971964,-9.5165689
2,BD-08 2823 c,150.1971964,-9.5165689
3,HD 104985 b,181.3157854,76.9053359
4,bet Pic b,86.8212337,-51.066148
5,bet Pic b,86.8212337,-51.066148
6,4 UMa b,130.0528099,64.3280504
7,HD 104985 b,181.3157854,76.9053359
8,kap CrB b,237.8080012,35.6558818
9,kap CrB b,237.8080012,35.6558818
10,kap CrB b,237.8080012,35.6558818
11,14 And b,352.82415,39.2358367
12,18 Del b,314.6078375,10.8391378
13,81 Cet b,39.4243555,-3.3963607
14,HD 81688 b,142.1665753,45.6009241
15,xi Aql b,298.5624491,8.4611051
16,HD 180314 b,288.7094401,31.8604391
17,HD 208897 b,329.7490639,19.0201591
18,HD 147379 b,244.1725686,67.2392041
19,HD 47366 c,99.4200181,-12.9856593
20,6 Lyn b,97.6960311,58.1611753
21,81 Cet b,39.4243555,-3.3963607
22,gam Lib b,233.8818636,-14.789502
23,gam Lib c,233.8818636,-14.789502
24,HD 110014 b,189.8111935,-7.9956702
25,KOI-13 b,286.9713876,46.8682463
26,Kepler-44 b,300.1023512,45.7621918
27,GJ 667 C b,259.7510609,-34.9977651
28,GJ 667 C c,259.7510609,-34.9977651
29,KOI-13 b,286.9713876,46.8682463
30,WASP-62 b,87.1398205,-63.9883286
31,KOI-13 b,286.9713876,46.8682463
32,KOI-13 b,286.9713876,46.8682463
33,GJ 667 C f,259.7510609,-34.9977651
34,GJ 667 C g,259.7510609,-34.9977651
35,GJ 667 C b,259.7510609,-34.9977651
36,GJ 667 C c,259.7510609,-34.9977651
37,HAT-P-7 b,292.24719,47.9695429
38,HAT-P-7 b,292.24719,47.9695429
39,WASP-74 b,304.538843,-1.0760033
40,HAT-P-7 b,292.24719,47.9695429
41,KOI-13 b,286.9713876,46.8682463
42,Kepler-44 b,300.1023512,45.7621918
43,HAT-P-7 b,292.24719,47.9695429
44,GJ 667 C b,259.7510609,-34.9977651
45,GJ 667 C c,259.7510609,-34.9977651
46,GJ 667 C b,259.7510609,-34.9977651
47,GJ 667 C c,259.7510609,-34.9977651
48,KOI-13 b,286.9713876,46.8682463
49,KOI-13 b,286.9713876,46.8682463
50,HAT-P-7 b,292.24719,47.9695429
51,Kepler-44 b,300.1023512,45.7621918
52,KOI-13 b,286.9713876,46.8682463
53,KELT-7 b,78.2955912,33.3179532
54,HATS-61 b,61.6578005,-25.3496674
55,HATS-63 b,67.418582,-28.1972149
